City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Chokurdakh,RU,70.6333,147.9167,1.42,97,99,8.88,overcast clouds
190,Clarence Town,AU,-32.5833,151.7833,64.94,99,100,2.89,overcast clouds
191,Betare Oya,CM,5.6,14.0833,68.34,94,100,3.47,overcast clouds
192,Aberdeen,GB,57.1437,-2.0981,54.5,100,100,11.5,fog
193,Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,6.38,snow
194,Jashpurnagar,IN,22.9,84.15,62.1,81,78,5.91,broken clouds
195,Grindavik,IS,63.8424,-22.4338,41.47,87,75,16.11,broken clouds
196,Akdepe,TM,42.0551,59.3788,50.32,54,32,8.72,scattered clouds
197,Fukue,JP,32.6881,128.8419,65.88,64,41,20.58,scattered clouds
198,Ancud,CL,-41.8697,-73.8203,49.89,80,100,21.52,overcast clouds
199,Daru,PG,-9.0763,143.2092,77.9,82,36,3.27,scattered clouds
200,Pucallpa,PE,-8.3791,-74.5539,79.45,82,100,1.43,overcast clouds
201,Meridian,US,43.6121,-116.3915,49.51,60,0,16.11,clear sky
202,Yar-Sale,RU,66.8333,70.8333,29.12,84,100,9.46,overcast clouds
203,Maridi,SS,4.9158,29.4742,69.62,87,99,1.72,overcast clouds
204,Semirom,IR,31.4167,51.5667,49.87,29,5,1.74,clear sky
205,Valparaiso,CL,-33.0393,-71.6273,62.83,84,0,10.36,clear sky
206,Sioux Lookout,CA,50.1001,-91.917,60.46,62,1,8.59,clear sky
207,Moengo,SR,5.6167,-54.4,87.8,61,93,6.62,overcast clouds
208,Byron Bay,AU,-28.65,153.6167,64.36,95,100,15.52,light rain
209,Jumla,NP,29.2747,82.1838,43.27,81,7,4.16,clear sky
210,Burnie,AU,-41.0667,145.9167,48.94,72,99,19.33,overcast clouds
211,Vaini,TO,-21.2,-175.2,73.56,73,20,13.8,few clouds
212,Mattru,SL,7.6244,-11.8332,75.51,95,100,3.42,light rain
213,Am Timan,TD,11.0297,20.2827,78.94,35,15,3.94,few clouds
214,Kodiak,US,57.79,-152.4072,38.88,75,68,11.43,broken clouds
215,Torbay,CA,47.6666,-52.7314,63.27,74,59,5.01,broken clouds
216,Makhu,IN,31.1033,74.9978,70.05,38,0,4.23,clear sky
217,Patitirion,GR,39.15,23.8667,73.38,70,6,2.19,clear sky
218,Ornskoldsvik,SE,63.2909,18.7153,29.35,93,1,5.75,clear sky
219,Zyryanka,RU,65.75,150.85,-4.56,95,98,9.53,overcast clouds
220,Tutoia,BR,-2.7619,-42.2744,83.05,74,55,15.1,broken clouds
221,Teya,RU,60.3778,92.6267,29.07,79,100,11.68,overcast clouds
222,Marion,US,39.7684,-86.1555,79.56,45,20,19.57,few clouds
223,Lahijan,IR,37.2061,50.0029,59.52,90,95,7.09,overcast clouds
224,Caravelas,BR,-17.7125,-39.2481,79.84,70,40,10.69,scattered clouds
225,Klaksvik,FO,62.2266,-6.589,45.52,87,100,21.92,overcast clouds
226,Gilgit,PK,35.9221,74.3087,59.9,30,1,0.69,clear sky
227,Nioro,GM,13.35,-15.75,84.34,65,63,4.63,broken clouds
228,Afyonkarahisar,TR,38.75,30.6667,53.49,38,3,0.74,clear sky
229,Yagodnoye,RU,62.55,149.6667,-12.17,98,74,3.53,broken clouds
230,Lamu,KE,-2.2717,40.902,79.02,86,100,12.06,overcast clouds
231,Olga,RU,43.7444,135.2892,31.8,77,11,7.14,few clouds
232,Dinguiraye,GN,11.3,-10.7167,70.61,79,82,3.22,broken clouds
233,Skibbereen,IE,51.55,-9.2667,53.11,93,95,5.66,overcast clouds
234,Lompoc,US,34.6391,-120.4579,73.85,39,0,13.8,clear sky
235,Fredericton,CA,45.9454,-66.6656,65.01,52,100,3.89,overcast clouds
236,Hovd,MN,48.0056,91.6419,43.11,37,89,9.53,overcast clouds
237,Vila Velha,BR,-20.3297,-40.2925,73.94,83,100,1.01,overcast clouds
238,Asfi,MA,32.2994,-9.2372,68.72,82,8,5.01,clear sky
239,Mataram,ID,-8.5833,116.1167,77.81,86,100,2.68,overcast clouds
240,Iaciara,BR,-14.0958,-46.6317,82.13,52,99,5.12,overcast clouds
241,Baherden,TM,38.4362,57.4316,60.58,71,88,1.74,light rain
242,Nusaybin,TR,37.0778,41.2178,65.7,41,0,6.38,clear sky
243,Kavieng,PG,-2.5744,150.7967,79.97,70,100,0.13,overcast clouds
244,Oksfjord,NO,70.2396,22.3479,39.38,98,100,25.19,overcast clouds
245,Tiksi,RU,71.6872,128.8694,22.17,90,100,12.48,overcast clouds
246,Santa Rosa,PH,14.3122,121.1114,80.11,91,32,4.38,scattered clouds
247,Redding,US,40.5865,-122.3917,63.82,33,0,5.99,clear sky
248,Mana,GF,5.6592,-53.7767,84.38,75,100,11.92,overcast clouds
249,Waipawa,NZ,-41.4122,175.5153,54.45,74,100,5.86,overcast clouds
250,Ahipara,NZ,-35.1667,173.1667,54.43,76,0,2.86,clear sky
251,Ugoofaaru,MV,5.6667,73.0,80.82,82,100,17.63,overcast clouds
252,Harnoli,PK,32.2792,71.5539,74.5,24,0,2.17,clear sky
253,Rocha,UY,-34.4833,-54.3333,62.91,74,97,10.96,overcast clouds
254,Christchurch,NZ,-43.5333,172.6333,55.9,56,100,6.91,overcast clouds
255,Kaeo,NZ,-35.1,173.7833,53.19,76,0,2.73,clear sky
256,Miranda,CO,3.2499,-76.2281,79.2,72,73,0.85,broken clouds
257,Juazeiro,BR,-9.4117,-40.4986,93.99,29,100,4.7,overcast clouds
258,Ponta Delgada,PT,37.7333,-25.6667,65.5,77,40,8.05,light intensity shower rain
259,Rawson,AR,-43.3002,-65.1023,78.22,18,10,15.14,clear sky
260,Nerchinskiy Zavod,RU,51.3088,119.61,24.35,61,18,3.62,few clouds
261,Asau,RO,46.4333,26.4,54.52,89,16,5.44,few clouds
262,Iskateley,RU,67.6803,53.1512,32.58,97,100,20.62,snow
263,Tuatapere,NZ,-46.1333,167.6833,45.64,94,100,11.23,moderate rain
264,Sosnovo-Ozerskoye,RU,52.5249,111.5418,28.81,71,12,3.24,few clouds
265,Orlik,RU,52.5178,99.825,35.74,55,99,2.98,overcast clouds
266,Deputatskiy,RU,69.3,139.9,-3.66,97,79,4.65,broken clouds
267,Punto Fijo,VE,11.6956,-70.1996,87.8,62,100,14.92,overcast clouds
268,New Glasgow,CA,45.5834,-62.6486,60.78,67,100,3.33,overcast clouds
269,San Quintin,MX,30.4833,-115.95,67.64,68,100,13.47,overcast clouds
270,Kahului,US,20.8947,-156.47,86.02,62,0,18.41,clear sky
271,Storforshei,NO,66.4043,14.5233,35.65,93,75,2.3,broken clouds
272,Acari,PE,-15.4311,-74.6158,78.24,45,38,10.89,scattered clouds
273,Northam,GB,51.0333,-4.2167,54.61,94,92,6.08,overcast clouds
274,Morgan City,US,29.6994,-91.2068,82.0,50,75,11.32,broken clouds
275,Huarmey,PE,-10.0681,-78.1522,68.02,70,82,10.96,broken clouds
276,Mastung,PK,29.7994,66.845,57.9,13,0,3.83,clear sky
277,Camana,PE,-16.6228,-72.7111,67.48,71,54,10.2,broken clouds
278,Mabiton,PH,12.8334,123.2612,81.84,79,90,5.99,overcast clouds
279,Point Pedro,LK,9.8167,80.2333,78.96,83,73,8.79,broken clouds
280,Lata,PT,40.1629,-8.3327,63.07,92,100,4.61,overcast clouds
281,Racine,US,42.7495,-88.0751,76.95,61,0,8.05,clear sky
282,Dana Point,US,33.467,-117.6981,73.04,59,80,5.99,broken clouds
283,Jiblah,YE,13.9216,44.1467,61.68,75,9,2.1,clear sky
284,Reconquista,AR,-29.15,-59.65,80.8,39,0,7.4,clear sky
285,Terrace,CA,54.5163,-128.6035,37.31,93,100,8.05,light rain
286,Omboue,GA,-1.5746,9.2618,77.05,91,100,6.73,light rain
287,Saldanha,ZA,-33.0117,17.9442,62.31,89,77,22.59,broken clouds
288,Marsh Harbour,BS,26.5412,-77.0636,78.64,64,4,11.9,clear sky
289,Praia,CV,14.9215,-23.5087,79.34,73,20,14.97,few clouds
290,Nikolskoye,RU,59.7035,30.7861,44.49,87,100,5.41,overcast clouds
291,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,96.93,33,100,4.29,heavy intensity rain
292,Songjianghe,CN,42.1859,127.479,27.79,87,27,1.52,scattered clouds
293,Dharchula,IN,29.85,80.5333,56.48,54,0,6.33,clear sky
294,Lohja,FI,60.2486,24.0653,41.18,94,60,5.48,broken clouds
295,Nemuro,JP,43.3236,145.575,48.02,82,100,13.22,overcast clouds
296,Lebu,CL,-37.6167,-73.65,55.44,62,0,11.07,clear sky
297,Homer,US,59.6425,-151.5483,35.8,78,0,4.0,clear sky
298,West Plains,US,36.7281,-91.8524,76.03,67,20,14.97,few clouds
299,Caohai,CN,26.8661,104.2841,52.95,98,100,3.85,overcast clouds
300,Licheng,CN,23.2955,113.8284,68.95,70,19,2.68,few clouds
301,Diamantino,BR,-14.4086,-56.4461,80.53,71,96,3.15,overcast clouds
302,Atasu,KZ,48.6814,71.6433,32.56,44,100,4.25,overcast clouds
