City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
129,Touros,BR,81.46,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
132,Albanel,CA,66.09,clear sky,48.8832,-72.4487,Camping municipal d'Albanel
133,Champerico,GT,83.84,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
134,Farafangana,MG,72.54,overcast clouds,-22.8167,47.8333,Miarina
135,Dingle,PH,75.9,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
136,San Carlos,VE,89.17,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
137,Candelaria,PH,76.05,scattered clouds,13.9311,121.4233,Casa de Provincia
138,Atuona,PF,75.76,light rain,-9.8,-139.0333,Villa Enata
139,Tall Kayf,TR,61.14,clear sky,37.0833,41.0667,
140,Ajdabiya,LY,69.76,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
141,Carnarvon,AU,68.05,few clouds,-24.8667,113.6333,Hospitality Carnarvon
142,Geraldton,AU,63.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
143,Sabha,LY,68.27,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
145,Farah,AF,65.41,clear sky,32.5,62.5,
146,Karratha,AU,70.88,clear sky,-20.7377,116.8463,ibis Styles Karratha
147,Eldersburg,US,66.04,overcast clouds,39.4037,-76.9503,Inn at Norwood
148,Axim,GH,78.37,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
152,Grand Gaube,MU,73.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
153,Saint George,US,54.95,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
154,Hermanus,ZA,65.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
156,Eyl,SO,78.91,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
159,Yuncheng,CN,60.21,overcast clouds,35.0231,110.9928,晋州快捷酒店
160,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
161,Takoradi,GH,78.73,few clouds,4.8845,-1.7554,Raybow International Hotel
163,Komsomolskiy,UZ,50.72,overcast clouds,40.4272,71.7189,Ikathouse
164,Gizo,SB,80.96,overcast clouds,-8.103,156.8419,Imagination Island
167,Moree,AU,60.87,few clouds,-29.4667,149.85,Molika Springs Motel
168,Maicao,CO,85.1,overcast clouds,11.3832,-72.2432,Hotel Sancho
169,Guerrero Negro,MX,73.87,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
172,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
173,Broken Hill,AU,57.74,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
174,Acarau,BR,83.77,scattered clouds,-2.8856,-40.12,castelo pizzaria
176,Maralal,KE,62.74,clear sky,1.0968,36.698,Ngari Hill Ecolodge
